"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2022"",""Country = INDIA""]"																																						
	2009	3	26	4	44	11.6			"INDIA:  CHAIBASA"	22.399	85.903	10	4.1						5	1		1									5	1		1				1
	2009	4	9	1	46	58.2			"INDIA:  JAISALMER"	27.143	70.749	44	5.2						6	1		2									6	1		2				2
	2009	5	19	19	29	48.9			"INDIA:  KASHMIR"	33.198	75.787	21	4.9									1												1			100	2
	2009	8	10	19	55	35.6	4419		"INDIA:  ANDAMAN I"	14.099	92.888	5	7.5																									
	2009	12	12	11	51	25.7			"INDIA:  MAHARASHTRA:  SATARA"	17.109	73.767	10	5.1									1												1				2
	2010	3	30	16	54	46.7			"INDIA: ANDAMAN ISLANDS:  DIGLIPUR"	13.667	92.831	34	6.7						10	1		2									10	1		2				3
	2010	5	1	22	36	29.3			"INDIA:  CHAMOLI"	30.099	80.026	36	4.5									1												1				
	2010	6	12	19	26	50.4	4902		"INDIA:  LITTLE NICOBAR ISLAND"	7.881	91.936	35	7.5	6																								
	2010	6	18	23	9	31			"INDIA:  ANDAMAN ISLANDS:  DIGLIPUR"	13.197	93.087	20	5.9									1												1				2
	2010	6	22	23	14	10.8			"INDIA:  TAULI"	29.872	80.428	16	5.2									1		1		1								1		1		
	2011	9	7	17	58	18.7			"INDIA:  DELHI"	28.724	77.189	10	4.3						1	1											1	1		1				
	2011	9	18	12	40	51.8			"INDIA:  SIKKIM"	27.73	88.155	50	6.9		111	3			177	3	22.3	3	6000	4	6000	4	111	3			177	3	22.3	3		4	6000	4
	2011	10	20	17	18	34.1			"INDIA:  GUJARAT"	21.211	70.533	10	5						34	1		3			3000	4					34	1		3			3000	4
	2011	10	29	0	43	55.1			"INDIA:  SIKKIM"	27.449	88.684	10	3.5		2	1											2	1										
	2011	11	21	3	15	42.2			"INDIA:  ASSAM"	24.955	95.236	114	5.8									1												1				
	2012	5	11	12	41	35.3			"INDIA:  ASSAM:  KAMRUP, GUWAHATI"	26.175	92.889	43	5.4						2	1		1				2					2	1		1				2
	2012	10	18	2	33	27.9			"INDIA:  DEURALA, JAISINGHNAGAR, KOTMA, SARAI, UMARIA"	23.739	81.314	10	5									1		2	1	1								1		2	1	1
	2013	5	1	6	57	13.4			"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN"	33.061	75.863	15	5.7		3	1			90	2	19.5	3	1136	4	95532	4	3	1			90	2	19.5	3	1136	4	95532	4
	2013	8	2	21	37	7			"INDIA:  KASHMIR:  KISHTWAR"	33.297	75.95	42	5.2	3					2	1		2				3					2	1		2				3
	2015	6	28	1	5	56			"INDIA:  KOKRAJHAR"	26.638	90.41	26	5.3						2	1						3					2	1		1				3
	2016	1	3	23	5	27			"INDIA:  IMPAHL"	24.804	93.651	55	6.7	7	13	1			100	2	75	4				2	13	1			100	2	75	4				2
	2017	1	3	9	9	8			"INDIA:  AMBASA;  BANGLADESH"	24.015	92.018	32	5.7		3	1				3		3	1492	4	5200	4	3	1				3		3	1492	4	5200	4
	2018	9	12	4	50	57			"INDIA:  WEST BENGAL"	26.371	90.161	10	5.3		1	1											1	1										
	2019	2	1	10	23	54			"INDIA:  MAHARASHTRA:  PALGHAR"	19.9	72.8	5	3.6		1	1						1					1	1						1				
	2019	7	24	19	33	15			"INDIA:  MAHARASHTRA:  PALGHAR"	20	72.9	10	3.8		1	1				1		1				1	1	1				1		1				1
	2021	4	28	2	21	26			"INDIA:  ASSAM"	26.782	92.436	34	6	9	2	1			12	1		2			428	3	2	1			12	1		2			428	3
